district,region,village,direction,elevator,floor,layout,decoration,year,size,price,perprice
锦江,三圣乡,万科金色城市 ,东南,有,中楼层,2室1厅,精装,2015,72.0,135.0,18750
锦江,东湖,翡翠城四期 ,东南,有,高楼层,1室1厅,精装,2015,50.0,135.0,26476
锦江,静居寺,东润风尚 ,西南,有,低楼层,2室1厅,简装,2015,60.0,92.0,15147
锦江,盐市口,督院府邸 ,东北,有,高楼层,3室1厅,其他,2015,129.0,420.0,32488
锦江,东光小区,康郡 ,北,有,高楼层,3室2厅,其他,2015,120.0,230.0,19113
锦江,合江亭,启明公寓 ,西北,有,中楼层,3室2厅,其他,2015,136.0,268.0,19706
锦江,琉璃场,锦馨家园B区 ,东,有,高楼层,1室1厅,其他,2015,51.0,63.0,12279
锦江,琉璃场,锦馨家园B区 ,北,有,低楼层,2室1厅,其他,2015,84.0,125.0,14881
锦江,莲花,钢管厂五区 ,西南,无,高楼层,1室0厅,其他,2014,32.0,40.0,12308
锦江,红星路,红星国际 ,东南南,有,中楼层,1室1厅,简装,2014,42.0,80.0,18745
锦江,三圣乡,华都美林湾 ,南,有,中楼层,3室1厅,其他,2014,124.0,258.0,20807
锦江,三圣乡,华都美林湾 ,东南,有,高楼层,1室1厅,其他,2014,55.0,102.0,18306
锦江,蓝谷地,东方丽景(锦江) ,东,无,低楼层,2室1厅,简装,2014,72.0,85.0,11785
锦江,蓝谷地,蓝谷地一二期 ,西,有,高楼层,3室2厅,精装,2014,137.0,210.0,15288
锦江,三官堂,望江嘉苑 ,西南,无,低楼层,2室2厅,简装,2014,80.0,205.0,25489
锦江,沙河堡,万科金润华府 ,东南,有,高楼层,3室2厅,其他,2014,73.0,215.0,29106
锦江,卓锦城,鑫苑名家一期 ,西南,有,中楼层,1室0厅,其他,2014,41.0,30.0,7318
锦江,三圣乡,锦江城市花园一期 ,东,有,中楼层,2室1厅,精装,2014,89.0,158.0,17721
锦江,合江亭,恒大都汇华庭 ,东南,有,中楼层,2室1厅,简装,2014,88.0,280.0,31564
锦江,三圣乡,锦江城市花园二期 ,东南,有,中楼层,2室1厅,精装,2014,50.0,85.0,16816
锦江,沙河堡,金领大厦 ,东东南,有,高楼层,2室1厅,简装,2014,92.0,135.0,14628
锦江,盐市口,阳光365 ,南,有,高楼层,2室1厅,简装,2014,57.0,200.0,34990
锦江,静居寺,明珠园三期 ,东南,无,高楼层,2室2厅,其他,2010,85.0,180.0,21029
锦江,川师,华润幸福里一期 ,东南,有,高楼层,3室2厅,简装,2010,106.0,258.0,24221
锦江,攀成钢,澳龙名城 ,西北,有,高楼层,2室1厅,精装,2010,84.0,210.0,24959
锦江,水碾河,蜀都花园 ,南,有,高楼层,1室1厅,简装,2010,58.0,93.0,15994
锦江,卓锦城,融创四海逸家 ,东南,有,高楼层,4室2厅,精装,2010,124.0,560.0,45162
锦江,合江亭,阳光新业中心 ,东南,有,中楼层,1室0厅,其他,2010,44.0,65.0,14676
锦江,三圣乡,华熙528艺术村锦都 ,东南,有,中楼层,2室2厅,毛坯,2010,77.0,170.0,21967
锦江,卓锦城,卓锦城四期 ,西南,有,中楼层,2室1厅,精装,2010,89.0,175.0,19527
锦江,三圣乡,华都美林湾 ,南,有,中楼层,3室2厅,毛坯,2010,143.0,264.0,18462
锦江,三官堂,锦洲花园 ,西北,有,低楼层,1室1厅,其他,2010,55.0,100.0,17951
锦江,沙河堡,万科金润华府 ,南,有,高楼层,2室1厅,精装,2010,67.0,155.0,22953
锦江,攀成钢,镏金岁月 ,北,有,高楼层,2室2厅,精装,2010,77.0,190.0,24593
锦江,三官堂,瑞升望江橡树林二期 ,北,有,中楼层,1室1厅,其他,2010,58.0,150.0,25433
锦江,川师,锦江国际花园 ,东北,有,中楼层,3室1厅,精装,2010,84.0,170.0,20217
锦江,沙河堡,华宇广场 ,南,有,高楼层,3室3厅,其他,2010,49.0,85.0,17347
锦江,蓝谷地,蓝光金悦天娇 ,东南,有,低楼层,3室1厅,精装,2015,68.0,140.0,20589
锦江,东光小区,学府芳邻社区 ,南,无,低楼层,3室2厅,其他,2015,96.0,120.0,12500
锦江,红星路,五世同堂街44号 ,东南,无,中楼层,2室1厅,简装,2015,93.0,125.0,13398
锦江,沙河堡,华宇广场 ,东南,有,高楼层,1室1厅,毛坯,2015,49.0,80.0,16327
锦江,盐市口,拐枣树街37号 ,南,无,中楼层,3室2厅,其他,2015,135.0,175.0,12898
锦江,川师,锦江国际花园 ,东南,有,中楼层,1室1厅,精装,2015,37.0,66.0,17498
锦江,三圣乡,万科金色城市 ,东南,有,中楼层,2室2厅,精装,2014,72.0,132.0,18334
锦江,合江亭,上行汇锦 ,西,有,高楼层,2室1厅,其他,2015,78.0,175.0,22322
锦江,川师,比华利国际城三期 ,东南,有,中楼层,4室2厅,其他,2014,105.0,280.0,26584
锦江,东湖,永兴佳苑 ,东,有,高楼层,2室1厅,简装,2014,48.0,75.0,15567
锦江,川师,万科城市花园 ,西北,有,中楼层,3室2厅,精装,2014,124.0,310.0,24884
锦江,三圣乡,绿地468云玺四期 ,东南,有,低楼层,3室2厅,其他,2014,89.0,200.0,22387
锦江,川师,华润幸福里二期 ,南西南,有,高楼层,2室1厅,精装,2014,75.0,180.0,23975
锦江,三圣乡,锦蓉佳苑 ,东,有,高楼层,2室1厅,其他,2014,83.0,182.0,21781
锦江,九眼桥,国嘉新视界 ,东北,有,低楼层,2室1厅,简装,2014,67.0,130.0,19183
锦江,川师,桂苑 ,东南,无,中楼层,2室2厅,简装,2014,69.0,85.0,12245
锦江,东湖,翡翠城二期 ,东南,有,高楼层,4室2厅,其他,2014,225.0,980.0,43413
锦江,静居寺,南光工人村宿舍 ,东北,无,高楼层,5室2厅,简装,2014,166.0,240.0,14412
锦江,琉璃场,蓝光凯丽香江 ,东南,有,高楼层,2室2厅,精装,2014,75.0,150.0,19821
锦江,琉璃场,上东花园4组团 ,东,无,中楼层,1室1厅,毛坯,2014,50.0,53.0,10546
锦江,东湖,万达锦华城 ,南北,有,高楼层,2室1厅,精装,2010,75.0,145.0,19295
锦江,东大路,乐天圣苑 ,南,有,中楼层,2室1厅,精装,2010,75.0,230.0,30432
锦江,莲花,名沁苑 ,南,无,高楼层,2室1厅,其他,2010,70.0,98.0,13903
锦江,三圣乡,华都美林湾 ,西南,有,中楼层,4室1厅,其他,2010,164.0,350.0,21281
锦江,盐市口,萧邦 ,北,有,中楼层,2室1厅,精装,2010,70.0,139.0,19832
锦江,三圣乡,万科金色城市 ,东北,有,高楼层,2室1厅,精装,2010,72.0,138.0,19167
锦江,攀成钢,上海东韵 ,东南,有,中楼层,2室1厅,其他,2010,70.0,170.0,24056
锦江,盐市口,西丁字街5号 ,东北,无,高楼层,6室0厅,其他,2010,193.0,335.0,17316
锦江,合江亭,阳光新业中心 ,西南,有,高楼层,1室0厅,其他,2015,85.0,142.0,16520
锦江,合江亭,国际商务大厦 ,西南,有,中楼层,1室0厅,其他,2015,47.0,82.0,17105
锦江,红星路,红星国际 ,东,有,中楼层,1室0厅,简装,2014,54.0,123.0,22632
锦江,沙河堡,五福苑(锦江) ,东南,无,低楼层,2室1厅,简装,2014,67.0,88.0,13076
锦江,卓锦城,鑫苑名家二期 ,南西南,有,中楼层,2室1厅,精装,2014,76.0,135.0,17712
锦江,合江亭,蓝光时代华章 ,东,有,中楼层,1室0厅,简装,2014,37.0,76.0,20032
锦江,蓝谷地,东城美地 ,西,有,中楼层,3室1厅,其他,2014,60.0,86.0,14322
锦江,卓锦城,鑫苑名家一期 ,东南,有,中楼层,2室1厅,精装,2010,61.0,95.0,15556
锦江,川师,锦江国际花园 ,东南,有,高楼层,1室1厅,其他,2010,37.0,63.0,17028
锦江,沙河堡,望江锦园 ,东,有,高楼层,2室1厅,精装,2010,69.0,139.0,19955
锦江,东大路,天誉花园 ,南,有,高楼层,3室1厅,精装,2010,120.0,410.0,34059
锦江,三圣乡,俊发星雅俊园 ,东南,有,低楼层,1室1厅,其他,2010,38.0,36.5,9563
锦江,攀成钢,吉宝凌云峰阁 ,西,有,高楼层,3室2厅,精装,2010,132.0,420.0,31768
锦江,盐市口,忠烈祠东街51号 ,东,暂无数据,低楼层,2室2厅,其他,2010,48.0,66.0,13671
锦江,东湖,东湖国际 ,东南,有,中楼层,1室2厅,其他,2010,57.0,125.0,21728
锦江,东大路,仁恒滨河湾 ,东南,有,中楼层,4室2厅,精装,2015,139.0,570.0,40893
锦江,琉璃场,正成翡翠琉璃 ,东南,有,中楼层,2室1厅,其他,2015,72.0,75.0,10335
锦江,水碾河,得胜上街76号 ,东,无,高楼层,3室1厅,简装,2015,60.0,86.0,14329
锦江,琉璃场,皇经嘉苑 ,东,有,高楼层,2室1厅,简装,2015,75.0,105.0,13878
锦江,卓锦城,卓锦城四期 ,西南,有,中楼层,2室2厅,精装,2015,88.0,165.0,18600
锦江,三圣乡,锦江城市花园二期 ,西北,有,高楼层,2室1厅,其他,2010,50.0,85.0,16936
锦江,蓝谷地,海桐二期 ,东南,有,低楼层,1室1厅,其他,2010,50.0,60.0,12000
锦江,三圣乡,俊发星雅俊园 ,东南,有,高楼层,1室1厅,精装,2015,32.0,58.0,18125
锦江,东光小区,育才都市家园一期 ,北,有,高楼层,3室1厅,其他,2005,119.0,263.0,21976
锦江,合江亭,阳光新业中心 ,东南,有,高楼层,1室1厅,其他,2005,49.0,92.0,18434
锦江,琉璃场,皇经嘉苑 ,东,有,低楼层,2室1厅,精装,2005,76.0,98.0,12811
锦江,红星路,在水一方 ,东北,有,低楼层,1室0厅,精装,2005,41.0,54.0,13060
锦江,水碾河,水碾河路6号 ,东北,无,中楼层,2室1厅,精装,2005,49.0,60.0,12068
锦江,东湖,东湖国际 ,东,有,低楼层,1室1厅,其他,2005,57.0,135.0,23668
锦江,琉璃场,中港悦蓉府 ,北,有,低楼层,2室1厅,其他,2005,70.0,135.0,19204
锦江,三圣乡,人居锦尚春天B区 ,西,有,低楼层,3室1厅,其他,2005,89.0,150.0,16689
锦江,攀成钢,龙舟苑 ,东南,无,中楼层,2室1厅,其他,2005,79.0,95.0,12006
锦江,三圣乡,锦江城市花园三期 ,东南,有,高楼层,2室1厅,简装,2005,47.0,80.0,17022
锦江,盐市口,学道街64号 ,东南,无,中楼层,2室1厅,简装,2005,61.0,176.0,28461
锦江,红星路,中道街88号院 ,南,无,高楼层,2室1厅,其他,2005,57.0,140.0,24378
锦江,合江亭,喜年广场 ,西,有,高楼层,1室0厅,精装,2005,46.0,105.0,22393
锦江,合江亭,喜年广场 ,东,有,中楼层,1室0厅,精装,2005,47.0,105.0,22327
锦江,合江亭,铁狮门晶融汇 ,南,有,低楼层,1室1厅,精装,2005,68.0,255.0,37259
锦江,沙河堡,塔子山壹号 ,东北,有,高楼层,3室2厅,精装,2005,95.0,265.0,27720
锦江,合江亭,锦海国际花园 ,西,有,中楼层,3室2厅,简装,2005,141.0,280.0,19819
锦江,卓锦城,卓锦城二期 ,南,有,中楼层,2室2厅,精装,2005,93.0,157.0,16712
锦江,合江亭,蓝光香槟广场 ,东,有,高楼层,1室1厅,其他,2005,67.0,138.0,20316
锦江,三圣乡,东洪广厦 ,东,有,高楼层,1室1厅,其他,2005,51.0,102.0,19903
锦江,三圣乡,锦江城市花园二期 ,东南,有,中楼层,2室1厅,精装,2005,51.0,90.0,17345
锦江,沙河堡,新希望锦官阁 ,东南,有,中楼层,3室1厅,精装,2005,100.0,290.0,29000
